FID,FID_,county,route_id,route_name,segment_id,segmt_name,steward_id,stew_unit,stew_type,segmt_type,route_type,foot,bicycle,horse,wheelchair,motor_vehi,etc_app,stew_name,length_f_1,length_m,GlobalID,CreationDa,Creator,EditDate,Editor,SHAPE_Length
1,0,Los Angeles, , ,0,ramp to Will Rogers State Beach,ca2,Will Rogers State Beach,County,Beach or Shoreline Access CCT,beach access,yes,no,no, ,no,no,County of Los Angeles,297,91,e0ff202f-af5d-4f6f-b2c3-5a25a2f19e94,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,90.5442957223975
2,0,Los Angeles, , ,0,stairs to Will Rogers State Beach,ca2,Will Rogers State Beach,County,Beach or Shoreline Access CCT,beach acccess,yes,no,no, ,no,no,County of Los Angeles,140,43,9cbfe56f-c388-40d5-a12a-76c9a2e446f4,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,42.7374846526686
3,0,Los Angeles,lat16,The Strand (Marvin Braude Bike Trail) - Santa Monica to Venice Beach,la98,South Bay Bicycle Trail - Marvin Braude Bike Trail,las1,Los Angeles County Parks,County,Primary CCT,Trail,yes,yes,no,yes,no,yes,County of Los Angeles,10744,3275,21798e84-3474-4fe4-b254-522395d48f6a,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,3274.70473391545
4,0,Los Angeles, , ,0,The Promenade - Santa Monica,ca2,Santa Monica State Beach,City,Primary CCT,Trail,yes,no,no,yes,no,no,City of Santa Monica,1120,341,924afdd7-467e-447d-a81e-6bac2e2c4f9d,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,341.498050490335
5,0,Los Angeles, , ,0,Venice Beach,las6,City of Los Angeles,City,Beach or Shoreline Route CCT,Beach,yes,no,no,no,no,no,City of Los Angeles,16551,5045,dd1f981e-1f4d-441e-90e8-54ef9b90a585,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,5044.88793226751
6,0,Los Angeles, , ,0,Santa Monica State Beach,ca2,Santa Monica State Beach,State Parks,Beach or Shoreline Route CCT,Beach,yes,no,no,no,no,no,California State Parks,18300,5578,6a9f73d8-30d9-4dd6-8be7-4d3bc6fccc0a,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,5577.94142136993
7,0,Los Angeles,lat17,Marvin Braude Bike Trail,la90,Marvin Braude Bike Trail,las1,Los Angeles County,County,Secondary CCT,Trail,yes,yes,no,no,no,yes,County of Los Angeles,6393,1949,70ccd1c0-19fe-49b0-a2c4-e076db649b00,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,1948.65807276024
8,0,Monterey,montt14,Carmel River State Beach,mont140,to Carmel River State Beach,ca2,Carmel River State Beach,State Parks,Beach or Shoreline Access CCT,beach access,yes,no,no,c,no,yes,California State Parks,142,43,5344de10-cc92-4cf7-84fd-5b2d8455aeb1,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,43.2416603248968
9,0,Los Angeles,lat17,Marvin Braude Bike Trail,la91,Marvin Braude Bike Trail,las1,Los Angeles County,County,Other Trail,Trail,yes,yes,no,yes,no,yes,County of Los Angeles,5139,1566,55e93f41-c86a-4d8b-8f37-c484942b3f6a,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,1566.49187456914
10,0,Los Angeles, , ,0,South Linden Avenue,las11,City of Long Beach,City,Secondary CCT,Sidewalk,yes,yes,no,yes,yes,no,City of Long Beach,444,135,d8ec460d-64af-4816-82a0-79ec78384bdd,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,135.385372899051
11,0,Los Angeles, , ,0,Long Beach City Beach - Alamitos Beach,las11,City of Long Beach,City,Beach or Shoreline Route CCT,Beach,yes,no,no, ,no,no,City of Long Beach,5477,1669,fbe6fa19-e716-41c7-b7f5-7ea3467bd3d9,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,1669.41752592415
12,0,Humboldt,humt25,Mad River to North Spit,hum62,Manila Beach - Samoa Beach - Lanphere Dunes,blm1,"BLM, Manila, Samoa","Federal, County",Beach or Shoreline Route CCT,Beach,yes,no,yes,no,no,yes,Bureau of Land Management,81442,24824,c49509a8-6d01-4024-ac11-553abd23cf93,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,24823.5578652181
